company_id,company_name,founded_year,india_employee_count,global_employee_count
19589,Ford,1903,5k-10k,1 Lakh+
7682,Accenture,1989,1 Lakh+,1 Lakh+
4571516,Thrive Info Tech,,,
1295512,Muthoot Finance,1939,10k-50k,10k-50k
649,Capgemini,1967,1 Lakh+,1 Lakh+
6101,Oracle,1977,50k-1 Lakh,1 Lakh+
114714,Capco,,,
5247,Tata Motors Finance,,,
1706,Deloitte,1845,1 Lakh+,1 Lakh+
1066,Tech Mahindra,1986,1 Lakh+,1 Lakh+
5247,Tata Motors Finance,1957,1k-5k,
1963056,Metropolis Healthcare Limited India,,,
1384,Wipro,1945,1 Lakh+,10k-50k
717,Randstad,1992,1k-5k,10k-50k
5390242,Starbucks,1971,1k-5k,1 Lakh+
2114,Cognizant,1994,1 Lakh+,1 Lakh+
11244,Infosys,1981,1 Lakh+,1 Lakh+
142075,Citiustech,2005,1k-5k,5k-10k
9815,Hexaware Technologies,1990,10k-50k,1 Lakh+
4124,Careernet Technologies,,,
439,Fractal Analytics,2000,1k-5k,1k-5k
2473424,Indira Ivf Hospital,2015,1k-5k,
158913,Baker Hughes,2016,1k-5k,50k-1 Lakh
1305652,Jaro Education,2009,501-1k,
19733,Airtel,1995,10k-50k,10k-50k
1685730,P. D Hinduja Hospital Medical Research Centre,,,
166616,Trigent Software,1995,501-1k,1k-5k
2354490,Wipro,1945,1 Lakh+,10k-50k
1601,TELUS International,,,
2249,V Guard,1977,1k-5k,1k-5k
6448,IGT Solutions,1998,5k-10k,10k-50k
6762,Conduent,2017,5k-10k,50k-1 Lakh
123730931,Essenware,,,
738639,Hitachi Ltd.,,,
27454,IMC Limited,,,
3125134,Coursera,2012,201-500,501-1k
755803,Sapiens International,,,
114714,Capco,1998,1k-5k,5k-10k
278795,Foundever,,,
123683413,Maverick Infotech,,,
3984708,Stanza Living,2017,501-1k,501-1k
152,Birlasoft,1995,10k-50k,
460,HCLTech,1991,1 Lakh+,1 Lakh+
3133320,Cliantha Research,2004,501-1k,
676499,PwC Service Delivery Center,,,
476,Godrej & Boyce (G&B),,,
602,Ion Exchange,,,
571,Infogain,1990,1k-5k,1k-5k
4394,PwC,1880,10k-50k,1 Lakh+
2449262,upGrad,2015,1k-5k,1k-5k
3144112,Elasticrun,2016,1k-5k,
1529150,Browserstack,2011,201-500,201-500
2033924,Mondelez,,,
111,Atos,1997,201-500,1 Lakh+
1967108,SVKM's Narsee Monjee Institute of Management Studies - NMIMS,,,
2903038,Titan Consultancy,,,
6946,Photon,1999,1k-5k,1k-5k
526,HTC Global Services,1990,5k-10k,10k-50k
4894118,Revolo Infotech,2017,11-50,
30975,Genpact,1997,50k-1 Lakh,1 Lakh+
4553068,Teamlease Services Limited,2016,1k-5k,
75,Ness,,,
5847236,Kantar,2008,5k-10k,10k-50k
32580,KPMG Assurance and Consulting Services LLP,,,
17165,Arvind Limited,1931,10k-50k,
154396,Croma,2006,1k-5k,1k-5k
2061242,Cars24,,,
841281,Delhivery,2011,10k-50k,10k-50k
13350,Tasva - A joint venture of Aditya Birla and Tarun Tahiliani,,,
142062,Marcus Evans Hindustan Private Limited,,,
498101,BDO India,,,
12246,Aveva,1967,1k-5k,1k-5k
574,Cyient,1991,10k-50k,10k-50k
726,Maintec Technologies,1998,201-500,501-1k
30210,DMart,2019,10k-50k,
22025,Larsen & Toubro (L&T),,,
2858938,Support Star Corporate,,,
759377,JSW Cement,2009,1k-5k,
3432,Kotak Life Insurance,2001,10k-50k,
627,JM Financial,1984,1k-5k,1k-5k
3829704,Rackspace Technology,1998,1k-5k,5k-10k
11221,MothersonSumi INfotech Designs Ltd. (MIND),,,
135604,Sykes,1977,10k-50k,50k-1 Lakh
5774088,Hello Brand,,,
2029214,Action For India,,,
123922711,PMC Retail,,,
1079606,Mobikwik,2009,201-500,201-500
1636986,RCG Global Services,,,
20343,Sasken Technologies,1989,1k-5k,1k-5k
2068610,Vertiv Co,,,
24468,Coforge,2004,10k-50k,10k-50k
735475,Disys India,,,
961,Tata Communications,1986,5k-10k,
641549,Newt Global,2004,51-200,501-1k
3707490,M/S Spectrum Global,,,
6235362,HEPL(A Cavinkare Group),,,
1533,Tata Elxsi,1989,10k-50k,10k-50k
39012,Deutsche Bank,1870,10k-50k,10k-50k
228364,VMware,1998,5k-10k,10k-50k
6604,Impetus Technologies,1991,1k-5k,1k-5k
5001020,Northstar Academy,,,
1459082,Axtria,2010,1k-5k,1k-5k
1405,Zensar,,,
412129,ACS Solutions,,,
16342,Teamlease Digital,,,
5934,NTT DATA Business Solutions Private Limited,,,
2462712,Clairvoyant an EXL Company,,,
18812,Cipla,1935,10k-50k,10k-50k
5230756,Jobaaj (a Unit Of Nishtya Infotech ),,,
63588,Zeta Inc.,,,
14453,Evalueserve,2000,1k-5k,1k-5k
105640,CBRE,1906,10k-50k,1 Lakh+
6481,Mphasis,1998,10k-50k,10k-50k
975544,Lal Sweets,2010,201-500,
6633018,M/s Alphatec Audio Video,,,
11458,Kotak Securities (KSL),,,
17596,Reliance Industries (RIL),,,
137160,KPMG Global Services Private Limited,,,
10111,2coms,1999,10k-50k,
123930829,Trident Dispatch,,,
832893,Narayana Health (NH),,,
3408604,Star Fing,,,
6913633,Giant Eagle Global Capability Centre,,,
159792,Puma,1948,1k-5k,10k-50k
16987,IBM,1911,50k-1 Lakh,1 Lakh+
73816,Siemens,1847,5k-10k,5k-10k
1231370,Marriott,1927,10k-50k,1 Lakh+
530713,Flipkart,2007,10k-50k,10k-50k
400331,Hilton Hotels,1919,1k-5k,1 Lakh+
737939,Simplilearn,2009,1k-5k,1k-5k
1026222,BYJUS,2011,1k-5k,
1009380,Klay Centre for Child Development and Care,,,
22446,Khazana Jewellery,1989,501-1k,
3004,Titan,2018,5k-10k,5k-10k
85811,Akshaya Patra Foundation,2000,201-500,5k-10k
93000,Amazon,1994,1 Lakh+,1 Lakh+
604,Iris Software,1991,1k-5k,1k-5k
123732317,M/S Indicomet Geoscience,,,
576625,Pricewaterhouse Coopers Service Delivery Center Kolkata,,,
5980246,"K2Q Capital Limited London, United Kingdom",,,
835251,Einfochips,1994,1k-5k,1k-5k
4149486,Randstad India,1992,1k-5k,10k-50k
24533,IonIdea,,,
2575282,NTT Data Payment Services,,,
8981,Salesforce,1999,1k-5k,10k-50k
5960460,Tecksight Info Solutions,,,
6156022,UG Training Academy,,,
10698,Allegis Group,1983,501-1k,10k-50k
204771,Broadridge,2007,1k-5k,10k-50k
1141,Teleperformance (TP),,,
3296168,Elabs Infotech,,,
123802593,Collabera Talent Solutions,,,
115770,CIMIC Group,1949,,10k-50k
530,Hurix,2000,501-1k,501-1k
59290,Paytm,2010,5k-10k,
1654,Berger Paints,1923,1k-5k,
932996,Lavya Associates HR Services,2012,51-200,51-200
113,Avery Dennison,1995,501-1k,10k-50k
2693060,Fidelity Health Services,,,
1555150,Burger King,2014,5k-10k,50k-1 Lakh
759377,JSW Steel,1982,10k-50k,10k-50k
75825,PVR Cinemas,1997,5k-10k,
56,Alp Consulting,1996,201-500,
123871777,QAsolvers,2021,201-500,
1849988,McDonalds,1955,5k-10k,1 Lakh+
6452456,Goguardian,,,
1879154,H B Fuller,1887,,5k-10k
3124812,The Luxury Closet,2011,51-200,
210945,Futurism Technologies,2003,201-500,501-1k
5319094,Aster MIMS,2000,1k-5k,
1983696,Aster Medcity,2015,,1k-5k
6129540,Marquee Equity,2016,201-500,
123930017,Rakesh Trading,,,
123919673,Sporty Group,,,
6320048,GT Solution,,,
1360722,Tredence,2013,1k-5k,
5792850,Redcliffe Diagnostics,,,
246425,Tata Capital,2007,5k-10k,
299157,NMS Consultant,,,
389,Ericsson,1876,10k-50k,1 Lakh+
