details_id,Role,Industry Type,Department,Employment Type,Role Category,description,skills_required
0,Finance Executive,Auto Components,Finance & Accounting,Full Time Permanent,Finance,"Good reasoning capability, innovative mindset, decision making,Good communication and inter-personnel skills,Attention to details, planning, organizing and prioritization skills,Ability to work with cross-functional teams collaboratively and manage conflicts","inventory accounting,Management"
2,Back End Developer,Management Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"Teaching various computer languages and specialist applications,Organising and promoting courses,Developing and delivering programmes of learning activities,Preparing teaching materials,Spending contact time with students on an individual or group basis,Invigilating examinations,Checking and assessing students' work and giving feedback,Making use of new technology such as distance learning or video conferencing,Keeping IT skills and knowledge up to date.","Administration,Computer languages,C++,Analytical,IT skills,PHP,Video conferencing,Management,Android,Teaching"
3,Business Development Executive (BDE),Banking,Sales & Business Development,Full Time Permanent,BD / Pre Sales,"Canvassing and sourcing of New Customers to increase Gold loan Business, Gold Appraisal,Revenue generations through Cross Selling products & Interest Collection,,Maintain good    relationships with clients so that the business can maximize the value of those relationships.,Customer Relationship and Follow-up, Maintenance of important registers and daily reports,,Cash Management and accounting.,Should possess excellent written and verbal Communication and also should possess basic knowledge in MS office.,Knowledge of the vernacular language of the respective region is mandatory.","Sales,Financial sector,Accounting,Gold loan,Customer relationship,Cash management,MS Office,Internship"
4,Customer Service,Banking,Customer Success Service & Operations,Full Time Permanent,Customer Success Service & Operations - Other,"Handling Walk-ins Enquiries Supporting Customers at Branch for KYC Documentation up keeping,Customer services Orientation,In-house Cross sell of canvas of products(Only Inside Branch)  Interest collection calling Informing need updated on callings to Existing Customers Few Backend work at Branch Prospecting and identifying new leads and pitching to the clients.,Providing client service to existing customers. They are required to manage all aspects of customer relationships..","Backend,Intern,Client servicing,Management"
5,Software Development - Other,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"Primary skill (Must-Have Skills) :- Ab Initio GDE,Secondary skills (Nice-to have Skills) :- SQL, Unix Scripting, Ab Initio Express>IT, Metadata hub,Functional Skills (If Any) :- experience working in Banking domain,Experience in Years :- 4-10 years","ab initio,gde,unix"
7,Full Stack Developer,Software Product,Engineering - Software & QA,Full Time Permanent,Software Development,"Good Exposure in Core HR, Talent Management, Learning Management, Reports, HDL, Security Console, Sandbox customization. Identify business requirements and map them to Oracle Fusion Absence Management or Oracle HCM Cloud Time and Labor OTL,Identify business requirements and map them to Oracle Learning Management,3 years or more of relevant Fusion experience in Benefits modules and rest of the experience in EBS Benefits/OAB,Identify functionality Fit and gaps and develop solutions to gaps.,Configure Oracle Fusion Absence Management based on customer requirements and document application set-ups.,Functional troubleshooting in Core HR and Absence Management modules to identify setup issues and resolve the issues.,Interact with the project team members responsible for developing reports, interfaces, data conversion programs, and application extensions.,Support clients with the execution of test scripts and resolve Issues raised in the various implementation phases.,Develop end-user documentation and training materials for client users and administrators for use and maintenance for the Fusion HCM Solutions.,Responsible for project deliverables from offshore for Oracle HCM Cloud Time and Labor OTL,Hold demos functional and technical discussions with onshore teams including the end customer,Work with offshore onshore team to ensure client satisfaction,Extensive Oracle HCM Cloud configuration experience based on business requirements for Oracle HCM Cloud Global Human Resources.,Act as the subject matter expert leading client to architect design and implement Oracle HCM Cloud Time and Labor,Should have conducted client workshops/configuration/ on the module,Experience in creating workflow and security for the module,Exposure to personalization,,Roles and Responsibilities","Oracle Hcm Cloud,Design Analysis,Configuration,Requirement Gathering,Oracle Hcm,core hr,Functional Management,oracle fusion"
8,Software Development - Other,Auto Components,Engineering - Software & QA,Full Time Permanent,Software Development,"Participate in white board sessions to gather customer requirements,Develop SpringBoot/Java API/microservices on Google Cloud Platform (GCP) utilizing GCP services such as Cloud Run, Cloud Spanner, Cloud Pub/Sub, and more,Perform software engineering using Test Driven Development (TDD), continuous integration and continuous deployment (CI/CD),Work in an extreme software development environment using Kanban software methodology,Work with team members to establish best practices to maximize efficiency and minimize risk.,Interact and work closely with product managers to devise solutions and break them down into incremental production-ready user stories,Identify opportunities for adopting new technologies to solve existing needs and predicting future challenges,Refactor API/microservices for simplification and efficiency,Execute API Load and Performance (LP) on API/modules developed,Develop software that is Clean Code compliant and utilize tools such as SonarQube,Perform individual development and collaborate with cross functional teams on end-to-end integration, testing and issue triage efforts.,Use DevOps tools such as Jenkins, SonarCube, CheckMarx, Fossa, and GitHub to deploy, improve and manage software,Stay current on the latest technology and contribute to the technical direction of the company while keeping a customer-centric approach,You may not check every box, or your experience may look a little different from what weve outlined, but if you think you can bring value to Ford Motor Company, we encourage you to apply!","Computer science,Software development methodologies,Interpersonal skills,GCP,TDD,Analytical,Integration testing,Agile,test driven development,JSON"
9,IT Project Manager,Banking,Project & Program Management,Full Time Permanent,Technology / IT,"Experts in banking and payments, capital markets and wealth and asset management,Deep knowledge in financial services offering, including e.g. Finance, Risk and Compliance, Financial Crime, Core Banking etc.,Committed to growing our business and hiring the best talent to help us get there Focused on maintaining our nimble, agile and entrepreneurial culture","Escalation management,Senior management,Project management,Diversity and Inclusion,Focus,Agile,Budget management,Asset management,Financial services,Core banking"
10,Software Development - Other,Auto Components,Engineering - Software & QA,Full Time Permanent,Software Development,"RICEFW objects,Performance Tuning,S4 Hana,Core ABAP,SAP agile development,SAP,HANA programming,SAP ABAP,troubleshooting,Agile methodology,Ricefw,Core","SAP ABAP,Programming,Performance optimization,Feasibility analysis,Solution Architect"
11,Product Engineer,Auto Components,Production Manufacturing & Engineering,Full Time Permanent,Engineering,"Familiarity with Siemens Process Simulate, Mechatronic concept designer, Plant SIM, SIMIT, VRC Manager,840 DSL Controller,Familiarity with 3D CAD design software such as CATIA, NX CAD,Solid programming skills with demonstrated ability to use at least one programming language (C#, C++, Python, etc.) to automate the manual simulation processes.,Prior experience with utilizing software APIs.,Basic understanding of kinematics and linear algebra.,Familiarity with PLC controllers like Siemens, Allen-Bradley,Familiarity with ABB, Kawasaki, Kuka and Fanuc robot programming robotics simulation software.,Stay up to date on technological advancements,Strong social and communicative skills,Keen sensibility and strong research skills,Ability to work in a team and closely with other professionals,Team Player having good Communication Coordination Skills,,Ability to work in a goal-driven environment with wholehearted dedication and consistency in the efforts and results Organizational ability to coordinate resources","CATIA,Automation,C++,Prototype,Version control,Simulation,Shop floor,Macros,Robotics,Python"
